"","RTlexdec","RTnaming","Familiarity","Word","AgeSubject","WordCategory","WrittenFrequency","WrittenSpokenFrequencyRatio","FamilySize","DerivationalEntropy","InflectionalEntropy","NumberSimplexSynsets","NumberComplexSynsets","LengthInLetters","Ncount","MeanBigramFrequency","FrequencyInitialDiphone","ConspelV","ConspelN","ConphonV","ConphonN","ConfriendsV","ConfriendsN","ConffV","ConffN","ConfbV","ConfbN","NounFrequency","VerbFrequency","CV","Obstruent","Frication","Voice","FrequencyInitialDiphoneWord","FrequencyInitialDiphoneSyllable","CorrectLexdec"
"1",694.889999999997,466.399999999999,2.37,"doe","young","N",3.91202300542815,1.02165124753198,1.38629436111989,0.14144,0.02114,0.693147180559945,0,3,8,7.036333,12.02268,10,3.73766961828337,41,8.8378263640077,8,3.29583686600433,0.693147180559945,2.70805020110221,3.49650756146648,8.83389994290864,49,0,"C","obst","burst","voiced",10.1293075190537,10.4097628392033,27
"2",600.399999999996,516.400000000001,4.43,"whore","young","N",4.52178857704904,0.350482973690812,1.38629436111989,0.42706,0.94198,1.09861228866811,0,5,5,9.537878,12.5978,20,7.87092959675514,38,9.77582462104597,20,7.87092959675514,0,0,2.94443897916644,9.61473824412392,142,0,"C","obst","frication","voiceless",9.0543880702023,9.14825217966276,30
"3",547.269999999997,465.8,5.6,"stress","young","N",6.50578406012823,2.08935599873702,1.6094379124341,0.06197,1.44339,2.484906649788,1.94591014905531,6,0,9.883931,13.30069,10,6.69332366826995,13,7.04053639021596,10,6.69332366826995,0,0,1.38629436111989,5.8171111599632,565,473,"C","obst","frication","voiceless",12.422026412175,13.1273946990515,30
"4",616.6,460.300000000002,3.87,"pork","young","N",5.01727983681492,-0.526333885688455,1.94591014905531,0.43035,0,1.09861228866811,2.63905732961526,4,8,8.30918,12.07807,5,6.67708346124714,6,3.8286413964891,4,3.52636052461616,0.693147180559945,6.63463335786169,1.09861228866811,2.56494935746154,150,0,"C","obst","burst","voiceless",10.0481505087767,11.0036486411941,30
"5",633.079999999998,492.000000000001,3.93,"plug","young","N",4.89034912822175,-1.04454506739783,2.19722457733622,0.3592,1.75393,2.484906649788,2.484906649788,4,3,7.943717,11.92678,17,4.76217393479776,17,4.76217393479776,17,4.76217393479776,0,0,0,0,170,120,"C","obst","burst","voiceless",11.7963359270711,12.1630920729557,26
"6",686.749999999998,477.099999999999,3.27,"prop","young","N",4.77068462446567,0.924801421542064,1.38629436111989,0.06268,1.7473,1.6094379124341,1.38629436111989,4,9,8.34962,12.19724,19,6.23441072571837,21,6.24997524225948,19,6.23441072571837,0,0,1.09861228866811,2.19722457733622,125,280,"C","obst","burst","voiceless",11.9915666826116,12.4367715828974,28
"7",584.399999999997,456.600000000002,3.73,"dawn","young","N",6.383506634884,-0.015421022994814,1.09861228866811,0,0.77898,1.79175946922805,1.09861228866811,4,6,7.699792,11.32815,10,4.77912349311153,13,8.86432272251144,10,4.77912349311153,0,0,1.38629436111989,8.84750362592364,582,110,"C","obst","burst","voiced",9.4081250888235,9.77241028892919,30
"8",526.819999999997,444.100000000002,5.67,"dog","young","N",7.15929190479756,-1.04821897388722,3.68887945411394,1.03052,1.05129,2.07944154167984,4.46590811865458,3,13,7.139341,12.02268,13,4.79579054559674,7,4.77068462446567,6,3.76120011569356,1.94591014905531,1.38629436111989,0,0,2061,76,"C","obst","burst","voiced",9.75533551151227,10.2550243186187,28
"9",741.480000000001,453.799999999999,3.1,"arc","young","N",4.89034912822175,2.91626810219974,1.6094379124341,0.15894,0.57715,1.6094379124341,2.07944154167984,3,3,7.747861,13.29079,1,3.73766961828337,11,6.0913098820777,0,0,0,0,2.39789527279837,5.99396142730657,144,4,"V","cont","long","voiced",6.42486902390539,6.53813982376767,25
"10",536.379999999999,482.599999999999,4.43,"skirt","young","N",5.92958914338989,-0.0787325207845102,1.79175946922805,0.06664,1.34797,1.94591014905531,2.07944154167984,5,3,8.561149,10.3889,7,4.62497281328427,14,5.16478597392351,7,4.62497281328427,0,0,2.07944154167984,4.30406509320417,522,86,"C","obst","frication","voiceless",11.1290114546924,11.5785633815511,29
